Pharmacy Name,Address,City,Province,lon,lat
SHOPPERS DRUG MART #2328,1200 MARKET ST SE,Airdrie,Alberta,-113.9922707,51.2703168
SHOPPERS DRUG MART #2360,836 1 AVE NW,Airdrie,Alberta,-114.0242795,51.2930608
SHOPPERS DRUG MART #2386,310-505 MAIN ST,Airdrie,Alberta,-114.015097,51.288663
SHOPPERS DRUG MART #2431 COOPERS CROSSING,801-401 COOPERS BLVD SW,Airdrie,Alberta,-114.023069,51.258293
SOBEYS PHARMACY #5172,100-65 MACKENZIE WAY SW,Airdrie,Alberta,-114.0245871,51.2905214
UNIVERSAL HEALTH PHARMACY #6,3-1861 MEADOWBROOK DR SE,Airdrie,Alberta,-113.9888875,51.2754015
WAL-MART PHARMACY #1050,2881 MAIN ST SW,Airdrie,Alberta,-114.0071197,51.262447
GUARDIAN BEACH PHARMACY,101-4705 46A AVE,Alberta Beach,Alberta,-114.349869,53.676159
ALIX DRUGS LTD.,4904 50 AVE,Alix,Alberta,-113.1908467,52.4001885
ANDREW PHARMACY AND HOME HEALTHCARE,5022 51 St,ANDREW,Alberta,-112.3351908,53.8789667
ARROWWOOD PHARMACY,3-6 RAILWAY AVE W,ARROWWOOD,Alberta,-113.1523947,50.7372479
ATHABASCA VALUE DRUG MART,4911 50 ST,ATHABASCA,Alberta,-113.286275,54.720229
LOBLAW PHARMACY #4904,5007 52 ST,ATHABASCA,Alberta,-113.2899521,54.7219072
MEDICINE SHOPPE PHARMACY 368,2810B 48 AVE,ATHABASCA,Alberta,-113.2490389,54.7188811
RX DRUG MART #2016,4923 50 ST,ATHABASCA,Alberta,-113.2862853,54.7209718
GOURLAY'S PHARMACY,104-220 BEAR ST,BANFF,Alberta,-115.5720205,51.1778431
IGA PHARMACY #8805,318 MARTEN ST,BANFF,Alberta,-115.5715802,51.1793484
BARRHEAD PEOPLES PHARMACY ,B-5120 50 ST,BARRHEAD,Alberta,-114.4036982,54.1209249
PEMBINA WEST CO-OP PHARMACY,4705 49 ST,BARRHEAD,Alberta,-114.4007452,54.1156199
RITA'S APOTHECARY & HOME HEALTHCARE,5036A 50 ST,BARRHEAD,Alberta,-114.4043333,54.1202129
PHARMASAVE BASHAW #319,5010 50 ST,BASHAW,Alberta,-112.971155,52.5838733
BASSANO PHARMACY,401 2 AVE,BASSANO,Alberta,-112.469278,50.7872476
BEAUMONT CENTRE PHARMACY,5003 50 AVE,BEAUMONT,Alberta,-113.4159844,53.3520277
BEAUMONT MEDX DRUGS,108-6202 29 AVE,BEAUMONT,Alberta,-113.4306911,53.339314
LOBLAW PHARMACY #4009,5201 30 AVE,BEAUMONT,Alberta,-113.4167584,53.3384175
PHARMASAVE MAINA CENTRE VILLE,104-5010 50 ST,BEAUMONT,Alberta,-113.4158946,53.3527338
REXALL #7226,5910 50 ST NW,BEAUMONT,Alberta,-113.4172261,53.361385
SHOPPERS DRUG MART #2358,6302 50 ST,BEAUMONT,Alberta,-113.4159368,53.3635264
SOBEYS PHARMACY #3184,5802 50 ST,BEAUMONT,Alberta,-113.4171791,53.3602793
MINT HEALTH + DRUGS: BEAVERLODGE,112 10 ST,BEAVERLODGE,Alberta,-119.4291626,55.2098866
REXALL #7507,1032 1 AVE,BEAVERLODGE,Alberta,-119.4313102,55.2116155
BEISEKER PHARMACY  ,205 6 ST,BEISEKER,Alberta,-113.5379317,51.3848255
BENTLEY IDA ,5018 50 AVE,BENTLEY,Alberta,-114.05125,52.46534
BERWYN PHARMACY LTD,5115 51 ST,BERWYN,Alberta,-117.7363766,56.1470114
PHARMASAVE #364  ,124 CENTRE AVE W,BLACK DIAMOND,Alberta,-114.2340205,50.6886076
SANDSTONE PHARMACIES BLACK DIAMOND,127 CENTRE AVE W,BLACK DIAMOND,Alberta,-114.2342076,50.6882205
BLACKFALDS PHARMACY,4916 BROADWAY AVE,BLACKFALDS,Alberta,-113.7957746,52.3788442
BLACKFALDS PROFESSIONAL PHARMACY,1-5049 PARKWOOD RD,BLACKFALDS,Alberta,-113.7875492,52.3818023
SANDSTONE PHARMACIES BLACKFALDS,2-5013 PARKWOOD RD,BLACKFALDS,Alberta,-113.7886575,52.3802215
RX DRUG MART #2017 ,12749 20 AVE,BLAIRMORE,Alberta,-114.4401155,49.6083943
TURTLE MOUNTAIN PHARMACY ,7-11001 20 AVE,BLAIRMORE,Alberta,-114.4596999,49.615399
BON ACCORD PHARMACY ,4948 50 AVE,BON ACCORD,Alberta,-113.4121527,53.8363475
DRUGSTORE PHARMACY #6717,5106 46 ST,BONNYVILLE,Alberta,-110.7305808,54.269622
PHARMASAVE #325,4812 50 AVE,BONNYVILLE,Alberta,-110.7360426,54.2677354
PHARMASAVE CLINIC DISPENSARY,102-4610 50 ST,BONNYVILLE,Alberta,-110.740758,54.264447
TELLIER PHARMACY,5015 50 AVE,BONNYVILLE,Alberta,-110.7416147,54.2682737
BOW ISLAND APPLE DRUGS  ,502 1 ST W,BOW ISLAND,Alberta,-111.3813616,49.8702338
BOWDEN GUARDIAN PHARMACY ,BAY 4-2002 20 AVE,BOWDEN,Alberta,-114.0368392,51.9326029
BOYLE RX DRUG MART  ,5118 3 ST,BOYLE,Alberta,-112.8087283,54.5895001
BRAGG CREEK PHARMACY ,20 WHITE AVE,BRAGG CREEK,Alberta,-114.562024,50.951144
BRETON IDA ,5031 50 AVE,BRETON,Alberta,-114.4731956,53.1094425
GREENBROOK PHARMACY,344 8 ST E,BROOKS,Alberta,-111.8805239,50.5659191
PHARMASAVE #345,BAY C -316 8 AVE W,BROOKS,Alberta,-111.8987612,50.5752397
SAFEWAY PHARMACY #8896,550 CASSILS RD W,BROOKS,Alberta,-111.9030956,50.5726931
SHOPPERS DRUG MART #2343,433 CASSILS RD W,BROOKS,Alberta,-111.8999143,50.5715908
WAL-MART PHARMACY #3658,917 3 ST W,BROOKS,Alberta,-111.9014817,50.5773446
BRUDERHEIM PHARMACY,4901 QUEEN ST,BRUDERHEIM,Alberta,-112.9282613,53.8003413
EASTSIDE PHARMACY,3466 17 AVE SE,CALGARY,Alberta,-113.9848652,51.0382496
EDMONTON TRAIL PHARMASAVE #392,103-805 EDMONTON TR NE,CALGARY,Alberta,-114.0545769,51.05907
ELITE PHARMACY,110-6108 BOWNESS RD NW,CALGARY,Alberta,-114.1736994,51.0836575
ELIXIR PHARMACY,102-8 VARSITY ESTATES CIR NW,CALGARY,Alberta,-114.1642442,51.1033502
ERINWOODS PHARMACY,3571 52 STREET SE,CALGARY,Alberta,-113.9592343,51.0224115
ERX PHARMACY,1715 10 AVE SW,CALGARY,Alberta,-114.1003485,51.044133
ESSENCE PHARMACY,150-3650 WESTWINDS DR NE,CALGARY,Alberta,-113.967889,51.1078089
EXCELHEALTH PHARMACY,100-3916 MACLEOD TR SW,CALGARY,Alberta,-114.0708301,50.9987142
FALCON PHARMACY,5425 FALSBRIDGE DR NE,CALGARY,Alberta,-113.9573759,51.097828
FALSHIRE PHARMACY,267-265 FALSHIRE DR NE,CALGARY,Alberta,-113.940345,51.106284
FAMILY CARE PHARMACY,218-40 COUNTRY HILLS LANDNG NW,CALGARY,Alberta,-114.0703797,51.1425149
FOREST HILLS PHARMASAVE #323,3-5315 17 AVE SE,CALGARY,Alberta,-114.0146509,51.0374706
FOREST LAWN PHARMACY,105-4909 17 AVE SE,CALGARY,Alberta,-113.9478885,51.0376218
FORME PHARMACY BRIDGELAND,103-736 1 AVE NE,CALGARY,Alberta,-114.0555439,51.0533475
FUTURE DRUG MART,104-5401 TEMPLE DR NE,CALGARY,Alberta,-113.9568114,51.0849438
FUTURE DRUG MART #2,102-4015 17 AVE SE,CALGARY,Alberta,-114.0647915,51.0380803
GLAMORGAN REMEDY'S RX,14-3919 RICHMOND RD SW,CALGARY,Alberta,-114.1432657,51.0206922
GLENBROOK FAMILY PHARMASAVE,2-3803 26 AVE SW,CALGARY,Alberta,-114.1415088,51.0297263
GLOBAL DRUGS,115-233 16 AVE NW,CALGARY,Alberta,-114.067015,51.0665433
HARRVEST HILL PHARMACY,111-160 96 AVE NE,CALGARY,Alberta,-114.0677131,51.1423019
HEALTH PLUS REMEDY'S RX PHARMACY,120-290 MIDPARK WAY SE,CALGARY,Alberta,-114.0637515,50.9095113
HEALTH WAY PHARMACY,109-5809 MACLEOD TR SW,CALGARY,Alberta,-114.0724731,51.0019142
HEALTH+ PHARMACY,3149 5 AVE NE,CALGARY,Alberta,-113.9880279,51.0564994
HEALTHMED PHARMACY,22-240 MIDPARK WAY SE,CALGARY,Alberta,-114.0639206,50.9137558
HOPE MEDICARE PHARMACY,3705 26 AVE NE,CALGARY,Alberta,-113.9812306,51.0774397
ICURAE PHARMACY,1502 11 AVE SW,CALGARY,Alberta,-114.0947744,51.043271
IMAGINE HEALTH PHARMACY - CALGARY,4120-15 SUNPARK PLAZA SE,CALGARY,Alberta,-114.0588462,50.9053095
IMAGINE HEALTH PHARMACY-DOWNTOWN CALGARY,100-300 6 AVE SE,CALGARY,Alberta,-114.0626256,51.0476797
JAKA DRUG MART,5150 47 LEGACY VIEW SE,CALGARY,Alberta,-114.0123346,50.8549074
KENRON COMPOUNDING PHARMACY,110-1011 GLENMORE TR SW,CALGARY,Alberta,-114.0854745,50.993662
KENRON COMPOUNDING PHARMACY FOOTHILLS,100-1620 29 ST NW,CALGARY,Alberta,-114.128647,51.0676789
KINSOL PHARMACY,803 1 AVE NE,CALGARY,Alberta,-114.0453316,51.0530565
LANDMARK PHARMACY,283-1623 CENTRE ST NW,CALGARY,Alberta,-114.0635812,51.0666394
LIVE LIFE PHARMACY,7A-7640 FAIRMOUNT DR SE,CALGARY,Alberta,-114.0592519,50.9854249
LOBLAW PHARMACY #1543,100 COUNTRY VILLAGE RD NE,CALGARY,Alberta,-114.0662761,51.160755
LOBLAW PHARMACY #1545,7020 4 ST NW,CALGARY,Alberta,-114.0692286,51.1157505
LOBLAW PHARMACY #1546,4700 130 AVE SE,CALGARY,Alberta,-113.9668042,50.9334974
LOBLAW PHARMACY #1574,PHARMACY DEPARTMENT,CALGARY,Alberta,-114.030861,51.093117
LOBLAW PHARMACY #1575,5251 COUNTRY HILLS BLVD NW,CALGARY,Alberta,-114.1613867,51.13649
LOBLAW PHARMACY #1576,3575 20 AVE NE,CALGARY,Alberta,-113.9827239,51.0710594
LOBLAW PHARMACY #1577,5858 SIGNAL HILL CTR SW,CALGARY,Alberta,-114.1678851,51.0211828
LOBLAW PHARMACY #1578,100-15915 MACLEOD TR SE,CALGARY,Alberta,-114.0675087,50.9096114
LOBLAW PHARMACY #1586,19655 SETON WAY SE,CALGARY,Alberta,-113.9593931,50.8746568
LOBLAW PHARMACY #1590,240-540 3 ST SE,CALGARY,Alberta,-114.0544819,51.0474237
LOBLAW PHARMACY #4619,10 SAGE HILL PLAZA NW,CALGARY,Alberta,-114.1516704,51.1699179
LONDON DRUGS #30,8330 MACLEOD TR SE,CALGARY,Alberta,-114.0700224,50.9785554
LONDON DRUGS #31,3545 32 AVE NE,CALGARY,Alberta,-113.9853222,51.0808781
LONDON DRUGS #32,300-5255 RICHMOND RD SW,CALGARY,Alberta,-114.1616607,51.0166791
LONDON DRUGS #33,3630 BRENTWOOD RD NW,CALGARY,Alberta,-114.1248475,51.0853431
LONDON DRUGS #40,400-8120 BEDDINGTON BLVD NW,CALGARY,Alberta,-114.0745658,51.1269667
LONDON DRUGS #64,4701 130 AVE SE,CALGARY,Alberta,-113.96749,50.9314347
LONDON DRUGS #68,500-8888 COUNTRY HILLS BLVD NW,CALGARY,Alberta,-114.0696085,51.1511321
LUKES DRUG MART,112 4 STREET NE,CALGARY,Alberta,-114.051337,51.0530959
LUKES DRUG MART-KILLARNEY,3407 26 AVE SW,CALGARY,Alberta,-114.1361046,51.0296909
LYNNWOOD DRUGS,6618 20A ST SE,CALGARY,Alberta,-114.0096754,50.9938187
MACLEOD GUARDIAN PHARMACY,1010 MACLEOD TR SE,CALGARY,Alberta,-114.0581399,51.0428396
MACLEOD TRAIL PHARMACY,103-5720 MACLEOD TR,CALGARY,Alberta,-114.0706251,51.0031184
MADIGAN PHARMACY,68-6060 MEMORIAL DR NE,CALGARY,Alberta,-113.942323,51.052787
MARKET MALL PHARMACY & COMPOUNDING,100-4935 40 AVE NW,CALGARY,Alberta,-114.1582335,51.0875933
MARTINDALE PHARMACY,101-126 MARTINDALE DR NE,CALGARY,Alberta,-113.9526775,51.1141719
MARTINDALE PHARMACY #2,316-7171 80 AVE NE,CALGARY,Alberta,-113.9322236,51.1244657
MARTINDALE PHARMACY #3,1410-6004 COUNTRY HILLS,CALGARY,Alberta,-113.9516212,51.1548668
MAXCARE PHARMACY,2-7005 18 ST SE,CALGARY,Alberta,-114.0160512,50.9906362
MEADOWS COMMUNITY PHARMACY,1041 CANYON MEADOWS DR SW,CALGARY,Alberta,-114.083468,50.9387289
MEADOWS MILE PHARMACY,110-8500 BLACKFOOT TR SE,CALGARY,Alberta,-114.0465716,50.9765105
MEDICARE PHARMACY,103-70 COUNTRY HILLS LANDNG NW,CALGARY,Alberta,-114.072897,51.141679
MEDICARE PLUS PHARMACY,7-6208 RUNDLEHORN DR NE,CALGARY,Alberta,-113.9439135,51.0715886
MEDICINE SHOPPE PHARMACY 111,114-8180 MACLEOD TR SE,CALGARY,Alberta,-114.0704386,50.9818488
MEDICINE SHOPPE PHARMACY 126,12-5440 4 ST NW,CALGARY,Alberta,-114.0709312,51.0994228
MEDICINE SHOPPE PHARMACY 158,312-401 9 AVE SW,CALGARY,Alberta,-114.0698895,51.0444388
MEDICINE SHOPPE PHARMACY 171,100-2675 36 ST NE,CALGARY,Alberta,-113.9825158,51.0768764
MEDICINE SHOPPE PHARMACY 178,105-4411 16 AVE NW,CALGARY,Alberta,-114.1588272,51.0680957
MEDICINE SHOPPE PHARMACY 181,11-555 HAWKWOOD BLVD NW,CALGARY,Alberta,-114.1693413,51.1241114
MEDICINE SHOPPE PHARMACY 194,2303 4 ST SW,CALGARY,Alberta,-114.0719307,51.0321985
MEDICINE SHOPPE PHARMACY 199,4-7930 BOWNESS RD NW,CALGARY,Alberta,-114.20143,51.0894982
MEDICINE SHOPPE PHARMACY 242,111-31 SUNPARK PLAZA SE,CALGARY,Alberta,-114.0586473,50.9025624
MEDICINE SHOPPE PHARMACY 260,11-600 CROWFOOT CRES NW,CALGARY,Alberta,-114.2040357,51.1295946
MEDICINE SHOPPE PHARMACY 314,3105-230 EVERSYDE BLVD SW,CALGARY,Alberta,-114.1100192,50.9093583
MEDICINE SHOPPE PHARMACY 389,1152 137 AVE SE,CALGARY,Alberta,-114.0281546,50.9282261
MEDICINE SHOPPE PHARMACY 398,70-1935 37 ST SW,CALGARY,Alberta,-114.1418486,51.0366269
MEDICURE PLUS PHARMACY,928-5075 FALCONRIDGE BLVD NE,CALGARY,Alberta,-113.9611346,51.0974334
MEDILINK REMEDY'S RX PHARMACY,120-9825 FAIRMOUNT DR SE,CALGARY,Alberta,-114.0591975,50.9644157
MEDIMAX PHARMACY,240-520 3 AVE SW,CALGARY,Alberta,-114.0720484,51.0509887
MEDIWELL PHARMACY,106-3840 104 AVE NE,CALGARY,Alberta,-113.9790026,51.147769
MEDVITE PHARMACY,120 40 AVE NW,CALGARY,Alberta,-114.0636924,51.0888927
MELL PHARMACY,771 NORTH MOUNT DR NW,CALGARY,Alberta,-114.095948,51.0824799
MEMORIAL SQUARE REMEDY'S RX,4A-5268 MEMORIAL DR NE,CALGARY,Alberta,-113.9566894,51.0537552
MERIT PHARMACY,11458 BRAESIDE DR SW,CALGARY,Alberta,-114.11667,50.9539051
MIDLAKE PHARMACY,15233 BANNISTER RD SE,CALGARY,Alberta,-114.0675824,50.9161979
MIDTOWN PHARMACY & TRAVEL CLINIC,1110 11 AVE SW,CALGARY,Alberta,-114.0867009,51.0435321
MINT HEALTH + DRUGS: BLUE BOTTLE,148 17 AVE NE,CALGARY,Alberta,-114.0601319,51.0680458
MYHEALTHCARE PHARMACY,101-3223 5 AVE NE,CALGARY,Alberta,-113.9865514,51.056584
MYHEALTHCARE+ PHARMACY,125-4611 BOWNESS RD NW,CALGARY,Alberta,-114.1596437,51.0716634
NEW BRIGHTON REMEDY'S RX PHARMACY & TRAVEL CLINIC,105-151 COPPERPOND BLVD SE,CALGARY,Alberta,-113.9317308,50.9236774
NORTHWEST PHARMACY,110-9 ROYAL VISTA DR NW,CALGARY,Alberta,-114.2075673,51.1507217
NUAID ONE6 PHARMACY,1506 16 AVE NW,CALGARY,Alberta,-114.0958213,51.0670762
NUAID ROYAL VISTA PHARMACY,1122 - 12 ROYAL VISTA WAY NW,CALGARY,Alberta,-114.2059438,51.1527225
OAKRIDGE COMMUNITY PHARMACY REMEDY'S RX,5-3109 PALLISER DR SW,CALGARY,Alberta,-114.130941,50.9702431
ORIAD PHARMACY,555 NORTHMOUNT DR NW,CALGARY,Alberta,-114.0864874,51.0885356
PACIFIC PLACE PHARMASAVE #393,958B-999 36 ST NE,CALGARY,Alberta,-113.984632,51.0614764
PANORAMA HILLS PHARMACY,28 PANATELLA BLVD NW,CALGARY,Alberta,-114.0714735,51.1651184
PARAMOUNT PHARMACY & TRAVEL CLINIC,3101-19605 WALDEN BLVD SE,CALGARY,Alberta,-114.025907,50.8756564
PARKHILL PHARMACY + COMPOUNDING CENTRE,124 42 AVE SW,CALGARY,Alberta,-114.0654009,51.0165898
PENNY + FAUSTA PHARMACY,101-217 19 ST NW,CALGARY,Alberta,-114.105764,51.0527057
"PHARM, DRUGSTORE + MORE",103A-3009 14 ST SW,CALGARY,Alberta,-114.0950312,51.0271804
PHARMACY CARE,3-5147 20 AVE SE,CALGARY,Alberta,-113.9594482,51.0350849
PHARMACY CARE 2,109-3151 27 ST NE,CALGARY,Alberta,-113.9953023,51.0803751
PHARMACY PLUS,5066 68 ST NE,CALGARY,Alberta,-113.9345205,51.0985769
PHARMALIFE PHARMACY,1106 EDMONTON TR NE,CALGARY,Alberta,-114.055208,51.061836
PHARMASAVE HIDDEN VALLEY,311-11 HIDDEN CREEK DR NW,CALGARY,Alberta,-114.105181,51.154921
PHARMASAVE JO'S BELTLINE PHARMACY,1219 11 AVE SW,CALGARY,Alberta,-114.0899898,51.0429057
PHARMASAVE MACLEOD,106-7500 MACLEOD TR SE,CALGARY,Alberta,-114.0702412,50.9866545
PHARMASAVE ON NORTHMOUNT,4501 BRISEBOIS DR NW,CALGARY,Alberta,-114.1289672,51.0932834
PHARMASAVE SIGNATURE DRUG MART #3017,509-1851 SIROCCO DR SW,CALGARY,Alberta,-114.1677959,51.0366208
PHARMASAVE WHITEHORN #3018,BAY 17-4525 52 ST NE,CALGARY,Alberta,-113.9592229,51.0918716
PHARMASELECT PHARMACY,1808 33 ST SE,CALGARY,Alberta,-113.9859029,51.0373911
PHARMEDIC PHARMACY #1,101-4515 MACLEOD TR SW,CALGARY,Alberta,-114.0661113,51.013492
PHARMEDIC PHARMACY #3,6558 4 ST NE,CALGARY,Alberta,-114.0559034,51.1114409
PINERIDGE PHARMACY,7-3250 60 ST NE,CALGARY,Alberta,-113.9463741,51.0812386
PRIMARYMED PHARMACY,148-1402 8 AVE NW,CALGARY,Alberta,-114.0978374,51.059689
QUEEN PHARMACY,32-4604 37 ST SW,CALGARY,Alberta,-114.1401735,51.013013
RADIANCE PHARMACY,100-10201 SOUTHPORT RD SW,CALGARY,Alberta,-114.0736272,50.9639987
RANCHLANDS PHARMACY,4-7750 RANCHVIEW DR NW,CALGARY,Alberta,-114.179371,51.1207172
RENFREW PHARMACY,832 EDMONTON TR NE,CALGARY,Alberta,-114.053906,51.059531
REVIVE PHARMACY,1905 20 AVE NW,CALGARY,Alberta,-114.1049665,51.0703415
REVOLUTION REMEDY'SRX,5959 SIGNAL HILL CENTRE SW,CALGARY,Alberta,-114.1749579,51.0168185
REXALL #7228,300-9650 HARVEST HILLS BLVD NE,CALGARY,Alberta,-114.06826,51.140773
REXALL #7260,10-3301 17 AVE SE,CALGARY,Alberta,-114.0641837,51.0380778
REXALL #7262,101-1032 17 AVE SW,CALGARY,Alberta,-114.084871,51.0377094
REXALL #7264,500-1110 PANATELLA BLVD NW,CALGARY,Alberta,-114.0912671,51.1679698
REXALL #7282,14-11625 ELBOW DR SW,CALGARY,Alberta,-114.085669,50.948789
REXALL #7283,160-11520 24 ST SE,CALGARY,Alberta,-114.0006155,50.9513314
REXALL #7284,116-817 19 ST NE,CALGARY,Alberta,-114.0145719,51.0582389
REXALL #7285,70 HIGH ST SE,CALGARY,Alberta,-113.9605244,50.9146491
REXALL #7287,148-555 STRATHCONA BLVD SW,CALGARY,Alberta,-114.1861226,51.0488558
REXALL #7288,152-1440 52 ST NE,CALGARY,Alberta,-113.956535,51.0624568
REXALL #7289,2050-11300 TUSCANY BLVD NW,CALGARY,Alberta,-114.2486216,51.1247856
REXALL #7292,120-55 CASTLERIDGE BLVD NE,CALGARY,Alberta,-113.962142,51.098529
RICHMOND SQUARE PHARMACY,142-3715 51 ST SW,CALGARY,Alberta,-114.1625934,51.0212623
RIDEAU PHARMACY,1711 4 ST SW,CALGARY,Alberta,-114.0719354,51.0372431
ROYAL CARE DOUGLASDALE PHARMACY,6-20 DOUGLAS WOODS DR SE,CALGARY,Alberta,-114.0018911,50.9432217
ROYAL OAK PHARMACY,228-500 ROYAL OAK DR NW,CALGARY,Alberta,-114.2332545,51.1394101
RUNDLE PHARMACY,11-3735 RUNDLEHORN DR NE,CALGARY,Alberta,-113.980657,51.071087
SAFEWAY PHARMACY #8803,399 36 ST NE,CALGARY,Alberta,-113.9848652,51.0542467
SAFEWAY PHARMACY #8809,1200 37 ST SW,CALGARY,Alberta,-114.1403001,51.0422583
SAFEWAY PHARMACY #8812,813 11 AVE SW,CALGARY,Alberta,-114.0800055,51.042329
SAFEWAY PHARMACY #8816,32 AVE & SHAGANNAPI TR NW,CALGARY,Alberta,-90.4792679,41.4814178
SAFEWAY PHARMACY #8820,524 ELBOW DR SW,CALGARY,Alberta,-114.0726147,51.0302754
SAFEWAY PHARMACY #8823,1818 CENTRE ST NE,CALGARY,Alberta,-114.0611037,51.0681676
SAFEWAY PHARMACY #8824,410 10 ST NW,CALGARY,Alberta,-114.0850784,51.0561028
SAFEWAY PHARMACY #8826,7740 18 ST SE,CALGARY,Alberta,-114.0141747,50.9838948
SAFEWAY PHARMACY #8833,99 CROWFOOT CRES NW,CALGARY,Alberta,-114.2006063,51.125242
SAFEWAY PHARMACY #8835,3550 32 AVE NE,CALGARY,Alberta,-113.9835868,51.0826399
SAFEWAY PHARMACY #8841,11011 BONAVENTURE DR SE,CALGARY,Alberta,-114.0616719,50.952708
SAFEWAY PHARMACY #8842,1600 90 AVE SW,CALGARY,Alberta,-114.0984385,50.9731932
SAFEWAY PHARMACY #8844,100-5005 DALHOUSIE DR NW,CALGARY,Alberta,-114.1622843,51.1065326
SAFEWAY PHARMACY #8847,70 SHAWVILLE BLVD SW,CALGARY,Alberta,-114.0642307,50.9057811
SAFEWAY PHARMACY #8849,8120 BEDDINGTON BLVD NW,CALGARY,Alberta,-114.0736186,51.1272654
SAFEWAY PHARMACY #8852,200 STEWART GREEN SW,CALGARY,Alberta,-114.1677676,51.0144358
SAFEWAY PHARMACY #8903,375 ASPEN GLEN LANDING SW,CALGARY,Alberta,-114.2089604,51.0411548
SAFEWAY PHARMACY #8909,850 SADDLETOWNE CIR NE,CALGARY,Alberta,-113.9454516,51.1236384
SAFEWAY PHARMACY #8912,2425 34 AVE SW,CALGARY,Alberta,-114.1166457,51.0227234
SAFEWAY PHARMACY #8913,1846-1632 14 AVE NW,CALGARY,Alberta,-114.1030334,51.0656788
SAFEWAY PHARMACY #8916,5048 16 AVE NW,CALGARY,Alberta,-114.1661473,51.074898
SAFEWAY PHARMACY #8918,5607 4 ST NW,CALGARY,Alberta,-114.0727318,51.1017356
SAFEWAY PHARMACY #8989,100-4915 130 AVE SE,CALGARY,Alberta,-113.9635709,50.930311
SAFEWAY PHARMACY #8990,3737 37 ST SW,CALGARY,Alberta,-114.1421509,51.0207701
SAGE MEADOWS PHARMACY,240-2971 136 AVE NW,CALGARY,Alberta,-114.1318943,51.1752334
SAGE PLUS CLINICAL PHARMACY,860 13 ST SE,CALGARY,Alberta,-114.0311774,51.0403215
SANDSTONE PHARMACIES ENHANCED CARE SOLUTIONS,105/107-4405 9 ST SE,CALGARY,Alberta,-114.0414061,51.014302
SANDSTONE PHARMACIES FIFTH AVENUE,222-425 1 ST SW,CALGARY,Alberta,-114.06573,51.0492537
SANDSTONE PHARMACIES GLENMORE LANDING,167D-1600 90 AVE SW,CALGARY,Alberta,-114.0984385,50.9731932
SANDSTONE PHARMACIES MCKENZIE LAKE,16630 MCKENZIE LAKE BLVD SE,CALGARY,Alberta,-113.9896724,50.9035041
SANDSTONE PHARMACIES SIMONS VALLEY,6213 CENTRE ST N,CALGARY,Alberta,-114.063367,51.107744
SANDSTONE PHARMACIES SPRAGUE,727 7 AVE SW,CALGARY,Alberta,-114.078222,51.0468168
SANDSTONE PHARMACIES-DOVER,4-3525 26 AVE SE,CALGARY,Alberta,-113.9801783,51.0305308
SAVANNA MARKET COMMUNITY RX PHARMACY,206-9036 46 ST NE,CALGARY,Alberta,-113.9654514,51.1342059
SAVE-ON-FOODS PHARMACY #6604,225 PANTELLA HILL NW,CALGARY,Alberta,-114.0887083,51.167155
SAVE-ON-FOODS PHARMACY #6606,155 WALDEN GATE SE,CALGARY,Alberta,-114.0386221,50.8749601
SAVE-ON-FOODS PHARMACY #6629,40 HUNTERHORN DR NE,CALGARY,Alberta,-114.0539327,51.1125936
