,id,OBJECTID,CVC_ID,region,district,name ,add,vac_type,easting,northing,lon,lat,type
11,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-2800,11,A00012,New Territories East,Sha Tin District,CUHK Medical Centre,"Ward A7, 7/F, 9 Chak Cheung Street, Shatin",BioNTech,839813,830468,114.2113052,22.41353079,CVC
12,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27ff,12,A00013,New Territories West,Islands District,Hong Kong International Airport,Airport Transport Lounge,BioNTech,809388,818910,113.915998,22.30894968,CVC
13,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27fe,13,A00014,New Territories West,Tsuen Wan District,Tsuen King Circuit Sports Centre,"38 Mei Wan Street, Tsuen King Circuit, Tsuen Wan",BioNTech,829509,826498,114.1112445,22.37767005,CVC
14,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27fd,14,A00015,Kowloon,Sham Shui Po District,Lai Chi Kok Park Sports Centre,"1 Lai Wan Road, Lai Chi Kok",BioNTech,832285,822403,114.1382096,22.34069864,CVC
15,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27fc,15,A00017,Kowloon,Wong Tai Sin District,Choi Hung Road Badminton Centre,"150 Choi Hung Road, Wong Tai Sin",BioNTech,838341,822052,114.1969974,22.33753226,CVC
16,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27fb,16,A00018,Kowloon,Kowloon City District,Education Bureau Kowloon Tong Education Services Centre,"19 Suffolk Road, Kowloon Tong",BioNTech,836303,821939,114.1772141,22.33651306,CVC
17,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27fa,17,A00019,Hong Kong,Southern District,Gleneagles Hospital Hong Kong,"1/F, Tower A, 1 Nam Fung Path, Wong Chuk Hang",BioNTech,836234,812557,114.1765445,22.25178776,CVC
18,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27f9,18,A00020,Hong Kong,Wan Chai District,St. Paul’s Hospital,"17/F, Block B, 2 Eastern Hospital Road, Causeway Bay",BioNTech,837432,815462,114.1881688,22.27802141,CVC
19,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27f8,19,A00021,Hong Kong,Eastern District,"A Kung Ngam Venue, Hong Kong Sanatorium & Hospital","5/F, 5 A Kung Ngam Village Road, Shau Kei Wan",BioNTech,842017,815958,114.2326593,22.28249141,CVC
20,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27f7,20,A00022,Hong Kong,Wan Chai District,"Happy Valley Venue, Hong Kong Sanatorium & Hospital","4/F, 2 Village Road, Happy Valley",BioNTech,836890,814532,114.1829093,22.26962319,CVC
21,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27f6,21,A00023,Kowloon,Kwun Tong District,Hiu Kwong Street Sports Centre,"2 Hiu Kwong Street, Kwun Tong",BioNTech,841504,820089,114.227695,22.3197985,CVC
22,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27f5,22,A00024,Hong Kong,Southern District,"Community Vaccination Centre, HKU Ap Lei Chau Sports Centre","3/F, Ap Lei Chau Municipal Services Building, No.8 Hung Shing Street, Ap Lei Chau",BioNTech,834056,811748,114.1554162,22.24448053,CVC
23,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27f4,23,A00025,New Territories East,North District,Lung Sum Avenue Sports Centre,"155 Jockey Club Road, Sheung Shui",BioNTech,831491,840595,114.1304474,22.50497904,CVC
24,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27f3,24,A00026,Hong Kong,Wan Chai District,Hong Kong Central Library (Exhibition Gallery),"G/F, 66 Causeway Road, Causeway Bay",Sinovac,837586,815670,114.1896632,22.27989967,CVC
25,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27f2,25,A00027,New Territories West,Yuen Long District,Tin Fai Road Sports Centre,"1/F, 63 Tin Shui Road, Tin Shui Wai, Yuen Long",Sinovac,817750,836155,113.9969525,22.46479041,CVC
26,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27f1,26,A00028,Kowloon,Yau Tsim Mong District,Kwun Chung Sports Centre,"6/F, Kwun Chung Municipal Services Building, 17 Bowring Street, Jordan",Sinovac,835380,818387,114.1682564,22.30443616,CVC
27,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27f0,27,A00029,New Territories East,Sha Tin District,Yuen Wo Road Sports Centre,"8 Yuen Wo Road, Sha Tin",Sinovac,837884,827080,114.1925663,22.38293835,CVC
28,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27ef,28,A00031,New Territories West,Tuen Mun District,Yau Oi Sports Centre,"3 Hing On Lane, Tuen Mun",BioNTech,815149,827374,113.9717977,22.38546414,CVC
29,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-27ee,29,A00032,New Territories West,Kwai Tsing District,Osman Ramju Sadick Memorial Sports Centre,"176, Hing Fong Road, Kwai Chung",BioNTech,831391,824665,114.1295243,22.36112346,CVC
30,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28ad,27,B00026,New Territories West,Yuen Long District,Madam Yung Fung Shee Health Centre,"26 Sai Ching Street, Yuen Long",Sinovac,820850,833519,114.0270978,22.44101701,GOPC
31,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28ac,2,B00001,Hong Kong East,Eastern District,Sai Wan Ho General Out-patient Clinic,"1/F, 28 Tai Hong Street, Sai Wan Ho",Sinovac,841106,816190,114.2238202,22.28458931,GOPC
32,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28ab,3,B00002,Hong Kong East,Wan Chai District,Violet Peel General Out-patient Clinic,"LG, Tang Shiu Kin Hospital, Community Ambulatory Care Centre, 282 Queen’s Road East, Wanchai",Sinovac,836357,815162,114.1777379,22.27531261,GOPC
33,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28aa,4,B00003,Hong Kong West,Central & Western District,Sai Ying Pun Jockey Club General Out-patient Clinic,"134 Queen's Road West, Sai Ying Pun, Hong Kong",Sinovac,832987,816394,114.1450365,22.28643525,GOPC
34,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28a9,5,B00004,Hong Kong West,Southern District,Ap Lei Chau General Out-patient Clinic,"161 Ap Lei Chau Main Street, Ap Lei Chau, Hong Kong",Sinovac,833870,811611,114.153612,22.24324308,GOPC
35,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28a8,6,B00005,Kowloon East,Kowloon City District,Central Kowloon Health Centre,"147A Argyle Street, Mong Kok, Kowloon",Sinovac,836491,820377,114.1790388,22.32240727,GOPC
36,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28a7,7,B00006,Kowloon East,Wong Tai Sin District,East Kowloon General Out-patient Clinic,"160 Hammer Hill Road, Diamond Hill, Kowloon",Sinovac,839469,822272,114.2079476,22.33951725,GOPC
37,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28a6,8,B00007,Kowloon West,Yau Tsim Mong District,Yau Ma Tei Jockey Club General Out-patient Clinic,"1/F, 145 Battery Street, Yau Ma Tei",Sinovac,835484,818961,114.1692654,22.30961978,GOPC
38,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28a5,9,B00008,Kowloon East,Kwun Tong District,Kwun Tong Community Health Centre,"UG, 60 Hip Wo Street, Kwun Tong",Sinovac,841328,819540,114.225985,22.31484123,GOPC
39,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28a4,10,B00009,New Territories West,Sai Kung District,Tseung Kwan O (Po Ning Road) General Out-patient Clinic,"G/F, 28 Po Ning Road, Tseung Kwan O, New Territories",Sinovac,845651,819868,114.2679444,22.31778511,GOPC
40,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28a3,11,B00010,New Territories West,Kwai Tsing District,South Kwai Chung Jockey Club General Out-patient Clinic,"310 Kwai Shing Circuit, Kwai Chung, New Territories",Sinovac,830966,824630,114.1253981,22.36080613,GOPC
41,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28a2,12,B00011,New Territories West,Kwai Tsing District,Mrs Wu York Yu General Out-patient Clinic,"310 Wo Yi Hop Road, Lei Muk Shue, Kwai Chung, New Territories",Sinovac,832135,826330,114.1367434,22.37616125,GOPC
42,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28a1,13,B00012,Kowloon West,Sham Shui Po,Cheung Sha Wan Jockey Club General Out-patient Clinic,"2 Kwong Lee Road, Cheung Sha Wan, Kowloon",Sinovac,834377,822377,114.1585176,22.34046741,GOPC
43,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-28a0,14,B00013,New Territories West,Islands District,North Lantau Community Health Centre,"3/F, North Lantau Hospital, 8 Chung Yan Road, Tung Chung, Lantau Island",Sinovac,811767,815984,113.9391313,22.2825618,GOPC
44,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-289f,15,B00014,New Territories East,North District,Fanling Family Medicine Centre,"1/F, Fanling Health Centre, 2 Pik Fung Road, Fanling, New Territories",Sinovac,832349,839661,114.1387885,22.49654684,GOPC
45,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-289e,16,B00015,New Territories East,Sha Tin District,Ma On Shan Family Medicine Centre,"G/F, 609 Sai Sha Road, Ma On Shan, New Territories",Sinovac,842246,831747,114.2349405,22.42507401,GOPC
46,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-289d,17,B00016,New Territories East,Tai Po District,Tai Po Jockey Club General Out-patient Clinic,"G/F, 37 Ting Kok Road, Tai Po, New Territories",Sinovac,835125,834951,114.1657698,22.45401767,GOPC
47,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-289c,18,B00017,New Territories West,Tuen Mun District,Yan Oi General Out-patient Clinic,"G/F, 6 Tuen Lee Street, Tuen Mun, New Territories",Sinovac,815906,828011,113.9791404,22.3912257,GOPC
48,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-289b,19,B00018,New Territories West,Yuen Long District,Tin Shui Wai (Tin Yip Road) Community Health Centre,"3 Tin Yip Road, Tin Shui Wai, New Territories",Sinovac,818663,836230,114.0058224,22.46547733,GOPC
49,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-289a,20,B00019,Hong Kong East,Eastern District,Shau Kei Wan Jockey Club General Out-patient Clinic,"1/F, 8 Chai Wan Road, Shau Kei Wan",Sinovac,841572,815293,114.2283391,22.27648746,GOPC
50,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-2899,21,B00020,Kowloon West,Kowloon City District,Hung Hom Clinic,"22 Station Lane, Hung Hom",Sinovac,837167,818797,114.1855993,22.3081387,GOPC
51,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-2898,22,B00021,Kowloon East,Wong Tai Sin District,Robert Black General Out-patient Clinic,"600 Prince Edward Road East, San Po Kong",Sinovac,838200,821494,114.195628,22.33249336,GOPC
52,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-2897,23,B00022,Hong Kong West,Hong Kong West District,Kennedy Town Jockey Club General Out- patient Clinic,"45 Victoria Road, Kennedy Town",Sinovac,830815,815887,114.1239618,22.28185122,GOPC
53,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-2896,24,B00023,Kowloon East,Kwun Tong District,Kowloon Bay Health Centre General Out-patient Clinic,"1/F, 9 Kai Yan Street, Kowloon Bay",Sinovac,839382,821066,114.2071007,22.32862653,GOPC
54,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-2895,25,B00024,Kowloon East,Sai Kung District,Mona Fong General Out-patient Clinic,"G/F, 23 Man Nin Street, Sai Kung",Sinovac,846080,826941,114.2721516,22.38165579,GOPC
55,CHP_CVS_GOPC_V1.fid-49427263_17a19b1646c_-2894,26,B00025,Kowloon West,Kwai Tsing District,Tsing Yi Town General Out-patient Clinic,"21 Tsing Luk Street, Tsing Yi",Sinovac,828960,823928,114.1059254,22.35445933,GOPC
56,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76e3,1265,C01304,Yau Tsim Mong District,CHAN CHIM YIU,Hong Kong Hearts Lactation & Vaccination Medical Centre,"Room 1429, Ocean Centre, 5 Canton Road, TSIM SHA TSUI, KOWLOON",Sinovac,835438,817459,114.1688197,22.29605578,PDC
57,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76e2,1266,C01305,Central & Western District,CHAN KIN WING,Glory Medical Clinic,"Room 601, Melbourne Plaza, 33 Queen 's Road Central, CENTRAL, HONG KONG",Sinovac,834186,815947,114.1566718,22.28240042,PDC
58,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76e1,1267,C01306,Yau Tsim Mong District,CHAN KWOK KEUNG,Olympian Integrated Medical Centre,"Shop 112, 1/F, Olympian City 1, 11 Hoi Fai Road, TAI KOK TSUI, KOWLOON",Sinovac,834300,820140,114.1577729,22.32026591,PDC
59,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76e0,1268,C01307,Tuen Mun District,CHAN WAI PING,Dr Grace Chan and Associates,"Shop 2, G/F, Commercial Centre Phase 1, Shan King Estate, TUEN MUN, NEW TERRITORIES",Sinovac,814458,828604,113.9650709,22.39656296,PDC
60,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76df,1269,C01308,Yau Tsim Mong District,CHEN SIU WAI IVO,Polyhealth,"Shop B2-07, The Second Basement, Kowloon Hotel, 19-21 Nathan Road, TSIM SHA TSUI, KOWLOON",Sinovac,835745,817424,114.171799,22.29573983,PDC
61,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76de,1270,C01309,Yau Tsim Mong District,CHOY LAI CHUN,Hong Kong Family Medicine Centre,"Shop 111, Level 1, Metro Harbour Plaza, 8 Fuk Lee Street, TAI KOK TSUI, KOWLOON",Sinovac,834573,820615,114.1604221,22.32455573,PDC
62,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76dd,1271,C01310,Yau Tsim Mong District,FU DI,Gardenia Medical Limited,"Room 707, 7/F, Mira Place Tower A, 132 Nathan Road, TSIM SHA TSUI, KOWLOON",Sinovac,835806,817997,114.1723908,22.30091439,PDC
63,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76dc,1272,C01311,Eastern District,KHIN SAN WYNN,JFA -Town Health Integrated Medical Centre (HFC),"Shop G60, Paradise Mall, HENG FA CHUEN, HONG KONG",Sinovac,842724,815377,114.2395173,22.2772421,PDC
64,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76db,1273,C01312,Central & Western District,LAM CHI WAN EDWIN,Metro Medical Centre,"Room 1311, Central Building, 1 Pedder Street, CENTRAL, HONG KONG",Sinovac,834239,815823,114.1571863,22.28128068,PDC
65,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76da,1274,C01314,Yau Tsim Mong District,LEUNG TUNG LOK,Dr Leung Tung Lok,"Room 2B, Bright Growth Medical Centre, 335 Nathan Road, JORDAN, KOWLOON",Sinovac,835685,818647,114.1712163,22.30678425,PDC
66,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76d9,1275,C01315,Central & Western District,LI KWOK TUNG DONALD,Family Medical Practice,"6/F, Hing Wai Building, 36 Queen's Road Central, CENTRAL, HONG KONG",Sinovac,834143,815880,114.1562547,22.28179531,PDC
67,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76d8,1276,C01316,Tuen Mun District,LI PO CHUN,Premier Health Medical Centre,"Shop 85, G/F, Melody Garden Commercial Complex, Melody Garden, 2 Wu Chui Road, TUEN MUN, NEW TERRITORIES",Sinovac,814049,826131,113.9611335,22.37422539,PDC
68,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76d7,1277,C01317,Kwun Tong District,LI YU CHI,Yau Lai Medical Centre,"Shop 303, Yau Lai Shopping Centre, 9 Yau Tong Road, YAU TONG, KOWLOON",Sinovac,842462,817741,114.2369842,22.29859146,PDC
69,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76d6,1278,C01318,Yuen Long District,LIU LAI CHU THOMAS,Dr Lie Kin Fung & Dr Liu Lai Chu Thomas,"Shop D, G/F, 209 Castle Peak Road, YUEN LONG, NEW TERRITORIES",Sinovac,820755,833931,114.0261709,22.44473668,PDC
70,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76d5,1279,C01319,Yau Tsim Mong District,LO KAI FAI PETER,Dr Peter K.F. Lo,"Room 805, Belgian Bank Building, 721-725 Nathan Road, MONGKOK, KOWLOON",Sinovac,835429,820232,114.168731,22.32109765,PDC
71,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76d4,1280,C01321,Sham Shui Po District,SO CHEUNG FAI,Dr C F So,"Room A1, G/F, Hoi Cheung Building, 72-74 Tai Po Road, SHAM SHUI PO, KOWLOON",Sinovac,835242,821102,114.1669154,22.32895416,PDC
72,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76d3,1281,C01322,Sham Shui Po District,SUN KAI CHEONG,Dr Sun Kai Cheong,"G/F, 143 Camp Street, SHAM SHUI PO, KOWLOON",Sinovac,834571,821779,114.1604015,22.33506733,PDC
73,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76d2,1282,C01323,Wan Chai District,TAM CHUN HAY,HK KIDNEY DISEASE AND DIABETES CENTER,"Room 1807, East Point Centre, 555 Hennessy Road, CAUSEWAY BAY, HONG KONG",Sinovac,837025,815730,114.1842197,22.28044185,PDC
74,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76d1,1283,C01324,Sha Tin District,TSE KWOK LAM,Wisdom Medical Centre,"Shop 82-84, 1/F, Fok On Garden Shopping Arcade, MA ON SHAN, NEW TERRITORIES",Sinovac,841631,831721,114.2289667,22.42484125,PDC
75,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76d0,1284,C01325,Kwun Tong District,WONG HON SUM SAMUEL,Yan Chak Medical Centre,"Room 209B, 2/F, Lei Yue Mun Plaza, YAU TONG, KOWLOON",Sinovac,842700,817540,114.2392931,22.29677544,PDC
76,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76cf,1285,C01326,Wan Chai District,WONG LAP WING RONNIE,Harbour Centre Medical Practice,"Room 2109B, 21/F, Harbour Centre, 25 Harbour Road, WAN CHAI, HONG KONG",Sinovac,836135,815785,114.1755838,22.2809387,PDC
77,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76ce,1286,C01327,Tsuen Wan District,WONG PING KIN RAYMOND,123 Medical Centre,"G/F, On Fung Building, 65 Yuen Tun Circuit, TSUEN WAN, NEW TERRITORIES",Sinovac,829615,825783,114.1122767,22.37121364,PDC
78,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76cd,1287,C01328,Kwai Tsing District,WONG TIN HO,Dr. Chan Sze Keung,"Flat/Rm C62, 2/F, Kwai Chung Plaza, 7-11 Kwai Foo Rd, KWAI CHUNG, NEW TERRITORIES",Sinovac,831197,824334,114.1276418,22.35813378,PDC
79,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76cc,1288,C01329,Yau Tsim Mong District,YEUNG PA SHING,Dr Yeung Pa Shing,"Room 1312, Argyle Centre, 688 Nathan Road, MONGKOK, KOWLOON",Sinovac,835515,820121,114.1695657,22.32009529,PDC
80,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76cb,1289,C01330,Sham Shui Po District,YU SZE YUI CYNTHIA,Human Health Medical Centre,"Shop 105B, 1/F, Liberte Place Shopping Centre, 833 Lai Chi Kok Road, LAI CHI KOK, KOWLOON",Sinovac,833373,821726,114.1487725,22.33458711,PDC
81,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76ca,1290,C01331,Yau Tsim Mong District,CHAN HOI YEE,Dr Chan Hoi Yee,"Room A, 8/F, Golden Hill Commercial Building, 39-41 Argyle Street, MONGKOK, KOWLOON",Sinovac,835410,820041,114.1685466,22.31937279,PDC
82,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76c9,1291,C01332,Central & Western District,CHAN HON WAI FELIX,Virtus Medical Centre – VMT,"15/F, Virtus Medical Tower, 122 Queen's Road Central, CENTRAL, HONG KONG",Sinovac,833961,816101,114.1544884,22.28379085,PDC
83,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76c8,1292,C01333,Central & Western District,CHAN LAM,Virtus Medical Group Limited,"17/F, Virtus Medical Tower, 122 Queen's Road Central, CENTRAL, HONG KONG",Sinovac,833961,816101,114.1544884,22.28379085,PDC
84,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76c7,1293,C01334,Central & Western District,CHEUNG HEUNG YAN,Quality Healthcare Medical Centre,"Room 501-507, 5/F, Prince's Building, 10 Chater Road, CENTRAL, HONG KONG",Sinovac,834420,815820,114.1589426,22.28125379,PDC
85,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76c6,1294,C01336,Yau Tsim Mong District,LI NAI HAE,Dr Li Nai Hae,"Room 502, 5/F, Onward Building, 528 Nathan Road, YAU MA TEI, KOWLOON",Sinovac,835651,819360,114.170886,22.31322306,PDC
86,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76c5,1295,C01337,Tsuen Wan District,SHEK KAI CHEUNG,Zen Medical Healthcare,"Room 3005, 3/F, OP Mall, 100 Tai Ho Road, TSUEN WAN, NEW TERRITORIES",Sinovac,829362,825456,114.1098216,22.36825966,PDC
87,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76c4,1296,C01338,Sha Tin District,WONG MARIANA YUEN PING,Evangel Hospital Shatin Clinic,"Unit 1317, 13/F, Tower 1, Grand Central Plaza, SHA TIN, NEW TERRITORIES",Sinovac,837417,827374,114.1880318,22.3855937,PDC
88,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76c3,1297,C01339,Central & Western District,YIP TZE HUNG,Dr. Yip Tze Hung,"10/F, Well On Commercial Building, 60 Wellington Street, CENTRAL, HONG KONG",Sinovac,834032,815902,114.1551776,22.28199385,PDC
89,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76c2,1298,C01340,Yau Tsim Mong District,YUNG CAROLINE MAN SAN,Qualtiy HealthCare Medical Centre,"8/F, Wai Fung Plaza, 664 Nathan Road, MONGKOK, KOWLOON",Sinovac,835531,820018,114.1697211,22.31916515,PDC
90,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76c1,1299,C01341,Wan Chai District,AU-YEUNG CHEUK LUN HENRY,Dr Au Yeung Cheuk Lun Henry,"Room 824, 8/F, Leighton Centre, 77 Leighton Road, CAUSEWAY BAY, HONG KONG",Sinovac,836900,815423,114.1830067,22.2776695,PDC
91,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76c0,1300,C01342,Kowloon City District,CHAN WING SEE ADA,Tung Yat Medical Clinic Limited,"G/F, 23A Tak Man Street, Whampoa Estate, HUNG HOM, KOWLOON",Sinovac,837417,818583,114.1880255,22.306206,PDC
92,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76bf,1301,C01343,Tsuen Wan District,CHAN YIU FAI,EGO Medical Centre,"Shop 2, G/F, Allway Gardens Shopping Centre Phase 1, Tsuen King Circuit, TSUEN WAN, NEW TERRITORIES",Sinovac,828765,826402,114.1040207,22.37680003,PDC
93,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76be,1302,C01344,Central & Western District,CHOW CHUN HUNG,Health Plus Medical Centre Limited,"Shop 3063, 3/F, Diamond Square, Shun Tak Centre, 168-200 Connaught Road Central, SHEUNG WAN, HONG KONG",Sinovac,833690,816558,114.151858,22.28791746,PDC
94,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76bd,1303,C01345,Tai Po District,HO CHUN LAM,AI Medical,"Shop 18, G/F, Tai Wo Centre, 15 Tai Wo Road, TAI PO, NEW TERRITORIES",Sinovac,834974,834740,114.164303,22.45211214,PDC
95,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76bc,1304,C01346,Central & Western District,HO HOK KUNG,Virtus Medical Group Limited,"18/F, Virtus Medical Tower, 122 Queen's Road Central, CENTRAL, HONG KONG",Sinovac,833961,816101,114.1544884,22.28379085,PDC
96,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76bb,1305,C01347,Yau Tsim Mong District,LEE CHEUK HON,R&M LEE COMPANY LIMITED,"ROOM 1804A, FLOOR 18, BLOCK 1, Argyle Centre, 688 Nathan Road, MONGKOK, KOWLOON",Sinovac,835515,820121,114.1695657,22.32009529,PDC
97,CHP_CVS_PDC_V1.fid-49427263_17a19b1646c_-76ba,1306,C01348,Yau Tsim Mong District,LEE TSZ YAN SAMSON,New Town Specialists Medical & Dental Centre,"Unit 801-803, 8/F, 26 Nathan Road, TSIM SHA TSUI, KOWLOON",Sinovac,835820,817442,114.1725268,22.2959024,PDC
