"","Local.Health.Board","Cluster","Practice.Name","PostCode","lon","lat"
"75","HYWEL DDA LOCAL HEALTH BOARD","Amman/Gwendraeth","Meddygfa Minafon"," SA17 4UL",-4.3123893,51.7360485
"76","HYWEL DDA LOCAL HEALTH BOARD","South Ceredigion","The Surgery (New Quay)"," SA45 9PB",-4.3626029,52.213919
"77","HYWEL DDA LOCAL HEALTH BOARD","North Ceredigion","Borth Surgery"," SY24 5JE",-4.0511202,52.4861066
"78","HYWEL DDA LOCAL HEALTH BOARD","Taf / Teifi / Tywi","Coach & Horses Surgery"," SA33 4AA",-4.4957466,51.8198718
"79","HYWEL DDA LOCAL HEALTH BOARD","North Pembrokeshire","Barlow House Medical Centre"," SA73 3JL",-5.0313419,51.7342007
"80","HYWEL DDA LOCAL HEALTH BOARD","Taf / Teifi / Tywi","Meddygfa Teilo"," SA19 6HL",-3.9905128,51.8843726
"81","HYWEL DDA LOCAL HEALTH BOARD","Amman/Gwendraeth","Meddygfa'r Sarn"," SA15 5TR",-4.217811,51.75324
"82","HYWEL DDA LOCAL HEALTH BOARD","North Ceredigion","Church Surgery"," SY23 2DX",-4.0828279,52.4164883
"83","HYWEL DDA LOCAL HEALTH BOARD","North Pembrokeshire","The Health Centre"," SA65 9BT",-4.9793396,51.9948002
"84","HYWEL DDA LOCAL HEALTH BOARD","Taf / Teifi / Tywi","Furnace House Surgery"," SA31 1EX",-4.304822,51.8596143
"85","HYWEL DDA LOCAL HEALTH BOARD","South Ceredigion","Meddygfa Emlyn"," SA38 9NS",-4.4687881,52.0414507
"86","HYWEL DDA LOCAL HEALTH BOARD","South Ceredigion","Llynyfran Surgery"," SA44 4JX",-4.3164117,52.0470906
"87","HYWEL DDA LOCAL HEALTH BOARD","Llanelli","Fairfield Surgery"," SA15 3AE",-4.1668285,51.6812785
"88","HYWEL DDA LOCAL HEALTH BOARD","North Ceredigion","Tanyfron Surgery"," SA46 0AS",-4.2598867,52.2425841
"89","HYWEL DDA LOCAL HEALTH BOARD","Taf / Teifi / Tywi","Meddygfa Taf"," SA34 0AT",-4.6150477,51.8198955
"90","HYWEL DDA LOCAL HEALTH BOARD","North Ceredigion","Padarn Surgery","  SY23 3DU",-4.0688603,52.4178037
"91","HYWEL DDA LOCAL HEALTH BOARD","North Ceredigion","Ystwyth Primary Care Centre"," SY23 3TL",-4.068741,52.4061435
"92","HYWEL DDA LOCAL HEALTH BOARD","South Pembrokeshire","The Surgery"," SA70 8AB",-4.7036424,51.6753164
"93","HYWEL DDA LOCAL HEALTH BOARD","Llanelli","Meddygfa Tywyn Bach"," SA16 0BN",-4.2481058,51.6848949
"94","HYWEL DDA LOCAL HEALTH BOARD","South Pembrokeshire","Saundersfoot Medical Centre"," SA69 9JQ",-4.7035397,51.7114642
"95","HYWEL DDA LOCAL HEALTH BOARD","South Ceredigion","Meddygfa Teifi Surgery"," SA44 4QJ",-4.3094916,52.0401673
"96","HYWEL DDA LOCAL HEALTH BOARD","Amman/Gwendraeth","Meddygfa'r Tymbl"," SA14 6DP",-4.1114595,51.7836434
"97","HYWEL DDA LOCAL HEALTH BOARD","Amman/Gwendraeth","Brynteg Surgery"," SA18 2DA",-3.9900118,51.7976503
"98","HYWEL DDA LOCAL HEALTH BOARD","Llanelli","Avenue Villa Surgery"," SA15 2TJ",-4.1665591,51.6795749
"99","HYWEL DDA LOCAL HEALTH BOARD","South Pembrokeshire","Narberth Surgery"," SA67 7AA",-4.7438242,51.8005199
"100","HYWEL DDA LOCAL HEALTH BOARD","South Ceredigion","Bro Pedr Medical Practice"," SA48 7AA",-4.0772051,52.1119063
"101","HYWEL DDA LOCAL HEALTH BOARD","Amman/Gwendraeth","The Surgery"," SA18 2PJ",-3.9887991,51.7948112
"102","HYWEL DDA LOCAL HEALTH BOARD","North Pembrokeshire","The Robert Street Practice"," SA73 2JW",-5.0343918,51.7139592
"103","HYWEL DDA LOCAL HEALTH BOARD","North Pembrokeshire","Winch Lane Surgery"," SA61 1RN",-4.96821,51.7979362
"104","HYWEL DDA LOCAL HEALTH BOARD","South Ceredigion","Cardigan Health Centre"," SA43 1EB",-4.6586235,52.084784
"105","HYWEL DDA LOCAL HEALTH BOARD","Amman/Gwendraeth","Coalbrook Surgery"," SA15 5HU",NA,NA
"106","HYWEL DDA LOCAL HEALTH BOARD","Llanelli","Llangennech Surgery"," SA14 8TU",-4.0840861,51.6977307
"107","HYWEL DDA LOCAL HEALTH BOARD","Taf / Teifi / Tywi","St Peter's Surgery"," SA31 1AH",-4.3035785,51.8600074
"108","HYWEL DDA LOCAL HEALTH BOARD","Amman/Gwendraeth","Meddygfa Penygroes"," SA14 7RP",-4.0528302,51.8028917
"109","HYWEL DDA LOCAL HEALTH BOARD","Llanelli","Ty Elli Group Practice"," SA15 3BD",-4.1638378,51.6831772
"110","HYWEL DDA LOCAL HEALTH BOARD","North Ceredigion","Tregaron Surgery"," SY25 6HA",-3.9346976,52.2196166
"111","HYWEL DDA LOCAL HEALTH BOARD","Taf / Teifi / Tywi","Llanfair Surgery"," SA20 0HY",-3.7960331,51.9984178
"112","HYWEL DDA LOCAL HEALTH BOARD","North Ceredigion","Llanilar Health Centre"," SY23 4PA",-4.0210254,52.3567411
"113","HYWEL DDA LOCAL HEALTH BOARD","North Pembrokeshire","St Davids Surgery"," SA62 6SS",-5.2636054,51.8821155
"114","HYWEL DDA LOCAL HEALTH BOARD","North Pembrokeshire","The Surgery"," SA62 6TW",-5.1991478,51.8739127
"115","HYWEL DDA LOCAL HEALTH BOARD","North Pembrokeshire","Meddygfa Wdig"," SA64 0BN",-4.9966432,52.0038944
"116","HYWEL DDA LOCAL HEALTH BOARD","Taf / Teifi / Tywi","Meddygfa Tywi"," SA32 7LG",-4.1897969,51.8695284
"117","HYWEL DDA LOCAL HEALTH BOARD","North Pembrokeshire","Newport Surgery"," SA42 0TJ",-4.8326145,52.0176498
"118","HYWEL DDA LOCAL HEALTH BOARD","South Ceredigion","Ashleigh Surgery"," SA43 1ED",-4.6579284,52.0851235
"119","HYWEL DDA LOCAL HEALTH BOARD","South Pembrokeshire","Health Centre"," SA73 1SA",-4.9526814,51.7112122
"120","HYWEL DDA LOCAL HEALTH BOARD","Taf / Teifi / Tywi","2 Morfa Lane"," SA31 3AX",-4.3136356,51.8553226
"121","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly East","St. Luke's Surgery"," NP11 5GX",-3.1323005,51.6480522
"122","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire North","Tudor Gate Surgery"," NP7 5DL",-3.0232017,51.8217639
"123","ANEURIN BEVAN LOCAL HEALTH BOARD","Blaenau Gwent East","Cwm Calon"," NP13 1BQ",-3.1347716,51.732496
"124","ANEURIN BEVAN LOCAL HEALTH BOARD","Blaenau Gwent East","Six Bells Medical Centre"," NP13 2PB",-3.1271769,51.7217519
"125","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly North","Markham Medical Centre"," NP12 0QN",-3.2055105,51.7020379
"126","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly East","Avicenna Medical Centre"," NP12 2YU",-3.1884968,51.656381
"127","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly East","Pontllanfraith Health Centre"," NP12 2YU",-3.1884968,51.656381
"128","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly East","Sunnybank Health Centre"," NP12 3NA",-3.2079615,51.6696428
"129","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen North","Blaenavon Medical Practice"," NP4 9AW",-3.0780352,51.7732411
"130","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport North","Isca Medical Centre"," NP18 1AZ",-2.9564213,51.6107283
"131","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire North","Wye Valley Practice"," GL15 6TN",-2.6341316,51.7373534
"132","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire South","Vauxhall Practice"," NP16 5PZ",-2.6811719,51.6390738
"133","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire South","Mount Pleasant Practice"," NP16 5XR",-2.6866373,51.6392757
"134","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire South","Town Gate Practice"," NP16 5XP",-2.6866373,51.6392757
"135","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire South","Caldicot Medical Group"," NP26 5AB",-2.7534155,51.5889171
"136","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen South","Oak Street Surgery"," NP44 3LT",-3.0255818,51.6471455
"137","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen South","Llanyravon Surgery"," NP44 8HW",-3.0068619,51.6483236
"138","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen South","Chapel Street Surgery"," NP44 1DU",-3.0252093,51.6601055
"139","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen South","Cwmbran Village Surgery"," NP44 3JS",-3.022702,51.6476292
"140","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen South","Clark Avenue Surgery"," NP44 1RY",-3.0267771,51.6642279
"141","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen South","Fairwater Medical Centre"," NP44 4TA",-3.0475804,51.6446673
"142","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen South","Greenmeadow Surgery"," NP44 3XQ",-3.0402901,51.6519704
"143","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen North","Panteg Health Centre"," NP4 5DJ",-3.0251901,51.6842477
"144","ANEURIN BEVAN LOCAL HEALTH BOARD","Blaenau Gwent West","Glanrhyd Surgery"," NP23 5NT",-3.213119,51.7949524
"145","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire North","Old Station Surgery"," NP7 5UH",-3.0232575,51.8248655
"146","ANEURIN BEVAN LOCAL HEALTH BOARD","Blaenau Gwent West","Glyn Ebwy Surgery"," NP23 6JG",-3.208155,51.7800953
"147","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire North","Castle Gate Medical Practice"," NP25 3EQ",-2.7186276,51.8099488
"148","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire North","The Usk Surgery"," NP15 1AB",-2.90333,51.7027997
"149","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire North","The Medical Centre"," NP15 1AB",-2.90333,51.7027997
"150","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport West","St. Paul's Clinic"," NP20 4EH",-2.9949943,51.5822814
"151","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport East","Park Surgery"," NP19 8HL",-2.9625339,51.58837
"152","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport North","Richmond Clinic"," NP19 7FY",-2.9814708,51.597016
"153","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport East","The Rugby Surgery"," NP19 0DW",-2.9783076,51.5841842
"154","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport North","Grange Clinic"," NP20 6EY",-3.006323,51.6109677
"155","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport West","Bryngwyn Surgery"," NP20 4JS",-3.0070467,51.5862429
"156","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport East","Ringland Health Centre"," NP19 9PS",-2.933357,51.5937846
"157","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport West","Bellevue Group Practice"," NP20 2WQ",-2.9965609,51.5773497
"158","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport North","St Julians Medical Centre"," NP19 7DQ",-2.9820817,51.5992319
"159","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport North","Malpas Brook Health Centre"," NP20 5PL",-3.002247,51.6003292
"160","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport East","Eveswell Surgery"," NP19 8NL",-2.9729644,51.5887785
"161","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport East","Beechwood Primary Care"," NP19 8HL",-2.9625339,51.58837
"162","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport West","St David's Clinic"," NP20 2LB",-2.9961644,51.5770384
"163","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen North","Trosnant Lodge"," NP4 8AT",-3.0370467,51.69987
"164","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen North","Churchwood Surgery"," NP4 6DH",-3.0427572,51.7053043
"165","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen North","Abersychan Surgery"," NP4 7BH",-3.0581077,51.7230962
"166","ANEURIN BEVAN LOCAL HEALTH BOARD","Torfaen North","The Mount Surgery"," NP4 6DL",-3.0475304,51.7064487
"167","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly East","Wellspring Medical Centre"," NP11 6BJ",-3.0954416,51.6066182
"168","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport North","The Rogerstone Practice (Chapelwood Primary Care Centre)"," NP10 9DU",-3.0414681,51.5822828
"169","ANEURIN BEVAN LOCAL HEALTH BOARD","Blaenau Gwent West","Health Centre"," NP22 3XP",-3.266105,51.7753164
"170","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly East","Risca Surgery"," NP11 6YS",-3.1073775,51.6152284
"171","ANEURIN BEVAN LOCAL HEALTH BOARD","Blaenau Gwent West","Glan yr Afon Surgery"," NP22 4LB",-3.242136,51.7706419
"172","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly East","North Celynen Practice"," NP11 4RE",-3.1456647,51.6696186
"173","ANEURIN BEVAN LOCAL HEALTH BOARD","Blaenau Gwent East","Blaen-y-Cwm Group Practice"," NP23 4PS",-3.1751999,51.7971983
"174","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire North","Dixton Surgery"," NP25 3PL",-2.711324,51.8150014
"175","ANEURIN BEVAN LOCAL HEALTH BOARD","Blaenau Gwent East"," Abertillery Group Practice"," NP13 1BQ",-3.1347716,51.732496
"176","ANEURIN BEVAN LOCAL HEALTH BOARD","Blaenau Gwent East","Blaina Medical Practice"," NP13 3AT",-3.1611054,51.7667128
"177","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport West","St. Brides Medical Centre"," NP10 8UX",-3.019567,51.5567948
"178","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport East","Underwood Health Centre"," NP18 2JB",-2.8884316,51.5974958
"179","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire North","Hereford Road Surgery"," NP7 5PR",-3.0144542,51.8237728
"180","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly North","Pengam Health Centre"," NP12 3WA",-3.2252482,51.6655616
"181","ANEURIN BEVAN LOCAL HEALTH BOARD","Blaenau Gwent West","Cwm Health Centre"," NP23 6RW",-3.1930202,51.7984543
"182","ANEURIN BEVAN LOCAL HEALTH BOARD","Blaenau Gwent West","Pen-y-Cae Surgery"," NP23 6EY",-3.2086442,51.7837679
"183","ANEURIN BEVAN LOCAL HEALTH BOARD","Newport East","Lliswerry Medical Centre"," NP19 0TD",-2.9491148,51.5779917
"184","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly North","Pengam Health Centre"," NP12 3WA",-3.2252482,51.6655616
"185","ANEURIN BEVAN LOCAL HEALTH BOARD","Monmouthshire South","Wye Dean Practice"," NP16 6SE",-2.6829278,51.6992982
"186","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy West","Mostyn House Medical Practice"," LL30 1YL",-3.8228402,53.3222177
"187","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Anglesey","Glanrafon Surgery"," LL68 9AG",-4.3535048,53.3870044
"188","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy West","Plas Menai Surgery"," LL33 0PE",-3.9763844,53.2563012
"189","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Meirionnydd","Health Services Centre"," LL41 3DW",-3.9359151,52.9921429
"190","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy West","Meddygfa"," LL24 0BP",-3.8192797,53.0917286
"191","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Anglesey","Parc Glas"," LL62 5NW",-4.396139,53.2114313
"192","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Meirionnydd","The Health Centre"," LL36 0AT",-4.0961105,52.5850511
"193","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Meirionnydd","Minfor Surgery"," LL42 1PL",-4.0600922,52.7256046
"194","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Anglesey","The Health Centre"," LL58 8AL",-4.0917437,53.2641859
